model,fpr,tpr,threshold
rule,0.05410691003911343,0.9962756052141527,2.221282388940947e-05
rule,0.05410691003911343,0.9981378026070763,2.1205588671109205e-05
rule,0.061277705345501955,0.9981378026070763,1.9380616894126393e-05
rule,0.06649282920469361,0.9981378026070763,3.04657765764759e-06
rule,0.06910039113428944,0.9981378026070763,2.80353591252139e-06
rule,0.07235984354628422,0.9981378026070763,1.2056328315773257e-06
rule,0.07561929595827901,0.9981378026070763,7.383003643936458e-07
rule,0.07953063885267275,0.9981378026070763,5.450217532423563e-07
rule,0.08083441981747067,0.9981378026070763,5.252944012985057e-07
rule,0.08213820078226858,0.9981378026070763,3.376801870414172e-07
rule,0.08539765319426336,1.0,3.0087949362087207e-07
rule,0.08735332464146023,1.0,2.306962346167757e-07
rule,0.08930899608865711,1.0,1.797330968907141e-07
rule,0.09191655801825294,1.0,1.1228078044553238e-07
rule,0.09452411994784876,1.0,9.703117716004297e-08
rule,0.09973924380704041,1.0,4.320868078051562e-08
rule,0.10365058670143416,1.0,4.021534465158363e-08
rule,0.10560625814863103,1.0,3.917507000463781e-08
rule,0.10691003911342895,1.0,3.717644630896308e-08
rule,0.11082138200782268,1.0,3.480504049275689e-08
rule,0.11342894393741851,1.0,3.204490979156746e-08
rule,0.11408083441981746,1.0,3.050964867983196e-08
rule,0.11603650586701435,1.0,2.9386251235002727e-08
rule,0.11734028683181226,1.0,2.7184813509123964e-08
rule,0.11864406779661017,1.0,1.9837319056424504e-08
rule,0.12385919165580182,1.0,1.8929649039866587e-08
rule,0.1258148631029987,1.0,1.674387050243508e-08
rule,0.1271186440677966,1.0,1.609114840419917e-08
rule,0.12777053455019557,1.0,1.6080347305418005e-08
rule,0.1290743155149935,1.0,1.596401206344957e-08
rule,0.13102998696219034,1.0,9.385485052678306e-09
rule,0.13298565840938723,1.0,6.330336110743435e-09
rule,0.13494132985658408,1.0,4.275761025059937e-09
rule,0.13754889178617993,1.0,3.2620389804205238e-09
rule,0.1408083441981747,1.0,2.628182008236417e-09
rule,0.1421121251629726,1.0,1.2444539510761568e-09
rule,0.14341590612777053,1.0,1.1764450362110558e-09
rule,0.14471968709256844,1.0,8.108927506355578e-10
rule,0.14602346805736635,1.0,7.631650226025064e-10
rule,0.14667535853976532,1.0,5.739093007857787e-10
rule,0.14863102998696218,1.0,5.271155664378751e-10
rule,0.14928292046936115,1.0,4.330457461917264e-10
rule,0.15058670143415906,1.0,4.327621042733542e-10
rule,0.15123859191655803,1.0,3.7043322551718297e-10
rule,0.15319426336375488,1.0,2.891511013350008e-10
rule,0.15971316818774445,1.0,1.052469611238427e-10
rule,0.1623207301173403,1.0,8.382107702857642e-11
rule,0.1681877444589309,1.0,1.9342496872581497e-11
rule,0.17209908735332463,1.0,1.884384343136311e-11
rule,0.17535853976531943,1.0,1.8038245178722144e-11
rule,0.17926988265971316,1.0,7.925373386370996e-12
rule,0.18057366362451108,1.0,7.497354499195967e-12
rule,0.18252933507170796,1.0,6.074921151892658e-12
rule,0.18578878748370273,1.0,4.5264141413335494e-12
rule,0.211864406779661,1.0,4.204896317306199e-12
rule,0.21316818774445892,1.0,4.1372003570146556e-12
rule,0.21577574967405475,1.0,2.871413263610142e-12
rule,0.21707953063885269,1.0,2.5584294068114516e-12
rule,0.21773142112125163,1.0,2.4750088867865314e-12
rule,0.2196870925684485,1.0,2.376799649790012e-12
rule,0.22294654498044328,1.0,2.055359215490558e-12
rule,0.2242503259452412,1.0,1.8334907108423855e-12
rule,0.2255541069100391,1.0,1.4982739828921305e-12
rule,0.2288135593220339,1.0,5.601155015682604e-13
rule,0.2301173402868318,1.0,2.4251556469490434e-13
rule,0.23076923076923078,1.0,2.2487510849661691e-13
rule,0.23272490221642764,1.0,2.0360014793224564e-13
rule,0.2333767926988266,1.0,1.8405005418112568e-13
rule,0.23468057366362452,1.0,1.4486230179305829e-13
rule,0.23728813559322035,1.0,1.4427978642442516e-13
rule,0.2379400260756193,1.0,1.432659317944011e-13
rule,0.2392438070404172,1.0,1.2869934217958296e-13
rule,0.23989569752281617,1.0,1.203649799287629e-13
rule,0.24445893089960888,1.0,1.12542876120872e-13
rule,0.24511082138200782,1.0,1.0488358645097217e-13
rule,0.24771838331160365,1.0,7.885835713587149e-14
