rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe,raw_over_one,rect_over_one
0.1,0.8,0.4560701700396552,1.4039618205749826,0.9930257244675987,0.0,0.6666666666666666,-0.4109360961073839,0.6666666666666666,True,False
0.1,0.85,0.48457455566713364,1.490356468735025,1.0717102564120375,0.0,0.0,-0.4186462123229875,0.0,True,True
0.1,0.9,0.5130789412946122,1.5766066558151515,1.139448926753049,0.0,0.0,-0.4371577290621025,0.0,True,True
0.1,0.95,0.5415833269220905,1.6628726197413066,1.2152942349671039,0.0,0.0,-0.44757838477420275,0.0,True,True
0.15,0.2,0.12041594578792297,0.32526303185581434,0.25388279984531575,1.0,1.0,-0.07138023201049859,0.0,False,False
0.15,0.25,0.1505199322349037,0.4219569129262428,0.2988332734467553,1.0,1.0,-0.12312363947948751,0.0,False,False
0.15,0.3,0.18062391868188443,0.5054333900161482,0.36340475437480485,1.0,1.0,-0.14202863564134333,0.0,False,False
0.15,0.35,0.21072790512886516,0.5884253450054994,0.4279315763039086,1.0,1.0,-0.16049376870159077,0.0,False,False
0.15,0.4,0.24083189157584595,0.6714211098318446,0.5036400118145755,1.0,1.0,-0.16778109801726904,0.0,False,False
0.15,0.45,0.27093587802282665,0.7541836126564322,0.5604171200895326,1.0,1.0,-0.1937664925668996,0.0,False,False
0.15,0.5,0.3010398644698074,0.8367187137956055,0.617023819746726,1.0,1.0,-0.21969489404887943,0.0,False,False
0.15,0.55,0.33114385091678816,0.919128926130336,0.6702823781631021,1.0,1.0,-0.24884654796723393,0.0,False,False
0.15,0.6,0.36124783736376886,1.001344563142591,0.7292596513229634,0.3333333333333333,1.0,-0.2720849118196276,0.6666666666666667,True,False
0.15,0.65,0.3913518238107496,1.083507650011641,0.7918936295486239,0.0,1.0,-0.2916140204630171,1.0,True,False
0.15,0.7,0.4214558102577303,1.1656220175574636,0.8545702442659211,0.0,1.0,-0.31105177329154254,1.0,True,False
0.15,0.75,0.45155979670471114,1.247648022577782,0.9152653833808531,0.0,1.0,-0.3323826391969289,1.0,True,False
0.15,0.8,0.4816637831516919,1.3295358689503154,0.9755399218177182,0.0,1.0,-0.3539959471325972,1.0,True,False
0.15,0.85,0.5117677695986725,1.4113006595777575,1.0484658887787817,0.0,0.0,-0.36283477079897586,0.0,True,True
0.15,0.9,0.5418717560456533,1.4930838116453578,1.1203971045300467,0.0,0.0,-0.37268670711531104,0.0,True,True
0.15,0.95,0.571975742492634,1.5754178957218603,1.1977303947347409,0.0,0.0,-0.37768750098711945,0.0,True,True
0.2,0.2,0.1264911064067352,0.3103798411363095,0.23723194844553866,1.0,1.0,-0.07314789269077085,0.0,False,False
0.2,0.25,0.15811388300841897,0.38847432558811484,0.3029154345569307,1.0,1.0,-0.08555889103118414,0.0,False,False
0.2,0.3,0.18973665961010275,0.46672974732212874,0.3541093413630434,1.0,1.0,-0.11262040595908535,0.0,False,False
0.2,0.35,0.22135943621178655,0.5594414892615808,0.4156985456277411,1.0,1.0,-0.14374294363383966,0.0,False,False
0.2,0.4,0.2529822128134704,0.6386491477912651,0.48889891565448473,1.0,1.0,-0.1497502321367804,0.0,False,False
0.2,0.45,0.28460498941515416,0.7173865914195096,0.5533471259395379,1.0,1.0,-0.1640394654799716,0.0,False,False
0.2,0.5,0.31622776601683794,0.7961238361113298,0.6045899164801826,1.0,1.0,-0.1915339196311472,0.0,False,False
0.2,0.55,0.3478505426185218,0.8747472887549073,0.6565514683185405,1.0,1.0,-0.21819582043636676,0.0,False,False
0.2,0.6,0.3794733192202055,0.9531116131331614,0.7312791302496288,1.0,1.0,-0.22183248288353263,0.0,False,False
0.2,0.65,0.41109609582188933,1.0314794645159948,0.7769520814768742,0.0,1.0,-0.2545273830391206,1.0,True,False
0.2,0.7,0.4427188724235731,1.1096119618419014,0.8365528567654371,0.0,1.0,-0.27305910507646425,1.0,True,False
0.2,0.75,0.4743416490252569,1.1877208254812273,0.89644727701257,0.0,1.0,-0.2912735484686573,1.0,True,False
0.2,0.8,0.5059644256269408,1.2657926316844919,0.9607875705035475,0.0,1.0,-0.3050050611809444,1.0,True,False
0.2,0.85,0.5375872022286244,1.3437185015737378,1.0295050224107563,0.0,0.0,-0.3142134791629816,0.0,True,True
0.2,0.9,0.5692099788303083,1.421564035578548,1.111557732964297,0.0,0.0,-0.310006302614251,0.0,True,True
0.2,0.95,0.6008327554319921,1.4993724792859382,1.182920535690829,0.0,0.0,-0.3164519435951092,0.0,True,True
0.25,0.2,0.13228756555322954,0.2974640265926071,0.22539796091830877,1.0,1.0,-0.07206606567429835,0.0,False,False
0.25,0.25,0.16535945694153692,0.3720592042914073,0.28643939496564164,1.0,1.0,-0.08561980932576568,0.0,False,False
0.25,0.3,0.1984313483298443,0.4468631266466732,0.33618088618959624,1.0,1.0,-0.11068224045707697,0.0,False,False
0.25,0.35,0.23150323971815168,0.5217724099784056,0.40732508540870654,1.0,1.0,-0.11444732456969903,0.0,False,False
0.25,0.4,0.2645751311064591,0.6099713050807987,0.4748356144688796,1.0,1.0,-0.13513569061191905,0.0,False,False
0.25,0.45,0.2976470224947665,0.6856179462104363,0.5279568076377822,1.0,1.0,-0.15766113857265407,0.0,False,False
0.25,0.5,0.33071891388307384,0.761006079595072,0.5938999399483027,1.0,1.0,-0.16710613964676935,0.0,False,False
0.25,0.55,0.36379080527138125,0.836126303371464,0.6452417052631495,1.0,1.0,-0.19088459810831448,0.0,False,False
0.25,0.6,0.3968626966596886,0.9111948709686323,0.7034379099011483,1.0,1.0,-0.20775696106748398,0.0,False,False
0.25,0.65,0.429934588047996,0.9861917807461814,0.7710981918028975,1.0,1.0,-0.2150935889432839,0.0,False,False
0.25,0.7,0.46300647943630335,1.0608666124110229,0.8242661872930322,0.0,1.0,-0.23660042511799062,1.0,True,False
0.25,0.75,0.49607837082461076,1.1357301741156627,0.8814654968163848,0.0,1.0,-0.25426467729927793,1.0,True,False
0.25,0.8,0.5291502622129182,1.210432122186165,0.9473404024000224,0.0,1.0,-0.26309171978614254,1.0,True,False
0.25,0.85,0.5622221536012255,1.285031431683221,1.0201998381259738,0.0,0.0,-0.26483159355724717,0.0,True,True
0.25,0.9,0.595294044989533,1.359469189308464,1.083773926648931,0.0,0.0,-0.27569526265953304,0.0,True,True
