support_size,n,seed_count,rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe
25,5000,3,0.1,0.55,0.20282997806044353,1.479506417879125,1.274264834042354,0.0,0.0,-0.20524158383677116,0.0
25,5000,3,0.1,0.6,0.2212690669750293,1.614366920934956,1.4121083987902832,0.0,0.0,-0.20225852214467288,0.0
25,5000,3,0.1,0.65,0.23970815588961508,1.7806332123580235,1.5562287029916435,0.0,0.0,-0.22440450936638,0.0
25,5000,3,0.1,0.7,0.2581472448042008,1.9110476212786498,1.6660954104260177,0.0,0.0,-0.24495221085263208,0.0
25,5000,3,0.1,0.75,0.2765863337187866,2.017785937027089,1.7466537443607748,0.0,0.0,-0.2711321926663144,0.0
25,5000,3,0.1,0.8,0.2950254226333724,2.1697982623980487,1.8920433711773705,0.0,0.0,-0.2777548912206782,0.0
25,5000,3,0.1,0.85,0.3134645115479582,2.2981786442399215,1.9975539773412692,0.0,0.0,-0.3006246668986523,0.0
25,5000,3,0.1,0.9,0.33190360046254397,2.41576293036862,2.1153535343538703,0.0,0.0,-0.3004093960147496,0.0
25,5000,3,0.1,0.95,0.3503426893771297,2.5546505760500167,2.2463760884052215,0.0,0.0,-0.30827448764479515,0.0
25,5000,3,0.125,0.0,0.0,0.007025835919677227,0.013880525576380734,1.0,1.0,0.006854689656703507,0.0
25,5000,3,0.125,0.05,0.020000000000000004,0.132435314541298,0.11608314739068569,1.0,1.0,-0.016352167150612315,0.0
25,5000,3,0.125,0.1,0.04000000000000001,0.2579014918179841,0.21470393482395886,1.0,1.0,-0.04319755699402525,0.0
25,5000,3,0.125,0.15,0.06,0.38333941696174456,0.34544901139671674,1.0,1.0,-0.03789040556502782,0.0
25,5000,3,0.125,0.2,0.08000000000000002,0.5086865625534644,0.47225756909927297,1.0,1.0,-0.03642899345419148,0.0
25,5000,3,0.125,0.25,0.1,0.6338776039741465,0.5552641205929083,1.0,1.0,-0.07861348338123819,0.0
25,5000,3,0.125,0.3,0.12,0.758859880711141,0.667107702887879,1.0,1.0,-0.09175217782326195,0.0
25,5000,3,0.125,0.35,0.13999999999999999,0.857382362694612,0.7653340035975597,1.0,1.0,-0.09204835909705233,0.0
25,5000,3,0.125,0.4,0.16000000000000003,0.9848856065049869,0.8783768213965081,0.6666666666666666,1.0,-0.10650878510847883,0.33333333333333337
25,5000,3,0.125,0.45,0.18000000000000002,1.1113274792031083,0.9905331795259311,0.0,0.6666666666666666,-0.12079429967717714,0.6666666666666666
25,5000,3,0.125,0.5,0.2,1.2375534888981619,1.0970990375239211,0.0,0.0,-0.14045445137424073,0.0
25,5000,3,0.125,0.55,0.22000000000000003,1.3627964294065953,1.2210482940570866,0.0,0.0,-0.1417481353495087,0.0
25,5000,3,0.125,0.6,0.24,1.487409528319074,1.330095896573437,0.0,0.0,-0.15731363174563695,0.0
25,5000,3,0.125,0.65,0.26,1.611829526368667,1.413319378655227,0.0,0.0,-0.1985101477134401,0.0
25,5000,3,0.125,0.7,0.27999999999999997,1.7361649340967196,1.5448517438469969,0.0,0.0,-0.1913131902497227,0.0
25,5000,3,0.125,0.75,0.30000000000000004,1.8595769121113275,1.662141904377328,0.0,0.0,-0.19743500773399947,0.0
25,5000,3,0.125,0.8,0.32000000000000006,1.983337426508476,1.7710256036434855,0.0,0.0,-0.2123118228649905,0.0
25,5000,3,0.125,0.85,0.34,2.119399464828551,1.8784497453990638,0.0,0.0,-0.24094971942948695,0.0
25,5000,3,0.125,0.9,0.36000000000000004,2.237450230800654,2.004707501201294,0.0,0.0,-0.23274272959936004,0.0
25,5000,3,0.125,0.95,0.38,2.355502640080887,2.1017491168925684,0.0,0.0,-0.25375352318831856,0.0
25,5000,3,0.15,0.0,0.0,0.00712259535242397,0.020118448092689867,1.0,1.0,0.012995852740265896,0.0
25,5000,3,0.15,0.05,0.021447610589527218,0.1228186821280735,0.09730919239581805,1.0,1.0,-0.025509489732255447,0.0
25,5000,3,0.15,0.1,0.042895221179054435,0.240210539140273,0.20111665408737267,1.0,1.0,-0.03909388505290032,0.0
25,5000,3,0.15,0.15,0.06434283176858165,0.3576256454430926,0.31759210286325507,1.0,1.0,-0.040033542579837544,0.0
25,5000,3,0.15,0.2,0.08579044235810887,0.47421007966964823,0.4351852031328825,1.0,1.0,-0.03902487653676573,0.0
25,5000,3,0.15,0.25,0.10723805294763608,0.5903900159326292,0.5235106386238507,1.0,1.0,-0.06687937730877846,0.0
25,5000,3,0.15,0.3,0.1286856635371633,0.7073604316003848,0.6369097438308517,1.0,1.0,-0.070450687769533,0.0
25,5000,3,0.15,0.35,0.1501332741266905,0.8506392277872417,0.7940217810673724,1.0,1.0,-0.056617446719869235,0.0
25,5000,3,0.15,0.4,0.17158088471621774,0.9647698786914086,0.8761577904151393,1.0,1.0,-0.08861208827626932,0.0
25,5000,3,0.15,0.45,0.19302849530574495,1.0796561018991164,1.0028966137289117,0.0,0.3333333333333333,-0.07675948817020473,0.3333333333333333
25,5000,3,0.15,0.5,0.21447610589527216,1.1929100889963637,1.0961725125659694,0.0,0.0,-0.09673757643039438,0.0
25,5000,3,0.15,0.55,0.2359237164847994,1.306143319460502,1.193968917878142,0.0,0.0,-0.11217440158236003,0.0
25,5000,3,0.15,0.6,0.2573713270743266,1.4187773823745982,1.2775106518708808,0.0,0.0,-0.1412667305037174,0.0
25,5000,3,0.15,0.65,0.2788189376638538,1.5307495423232493,1.3797970103556814,0.0,0.0,-0.15095253196756797,0.0
25,5000,3,0.15,0.7,0.300266548253381,1.643270666218984,1.502546575026691,0.0,0.0,-0.1407240911922929,0.0
25,5000,3,0.15,0.75,0.3217141588429082,1.754273813942696,1.593684615045605,0.0,0.0,-0.1605891988970911,0.0
