rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.05,0.8,-0.36878177829171555,2202,1.7310676939656475,1.0656640479106763,0.0,0.0
-0.05,0.8,-0.36878177829171555,2203,1.7496596120081718,1.0406771885217942,0.0,0.0
-0.05,0.85,-0.3918306394349477,2201,1.8355653543210733,1.117862742385576,0.0,0.0
-0.05,0.85,-0.3918306394349477,2202,1.8348753454230715,1.1358151578759776,0.0,0.0
-0.05,0.85,-0.3918306394349477,2203,1.8573371764748963,1.1179567312323975,0.0,0.0
-0.05,0.9,-0.41487950057817996,2201,1.9438414040724206,1.1844150559815874,0.0,0.0
-0.05,0.9,-0.41487950057817996,2202,1.9385608944385326,1.2170804181197181,0.0,0.0
-0.05,0.9,-0.41487950057817996,2203,1.9647843821045556,1.193462138883514,0.0,0.0
-0.05,0.95,-0.43792836172141214,2201,2.052447138602473,1.2644178849498124,0.0,0.0
-0.05,0.95,-0.43792836172141214,2202,2.042194717929298,1.2855035490346658,0.0,0.0
-0.05,0.95,-0.43792836172141214,2203,2.071835416630459,1.2427432777290128,0.0,0.0
-0.0,0.2,0.1,2201,0.3990811120951514,0.2771415749480136,1.0,1.0
-0.0,0.2,0.1,2202,0.4300270146353578,0.2632121099550497,1.0,1.0
-0.0,0.2,0.1,2203,0.4130963017308405,0.27993555545178694,1.0,1.0
-0.0,0.25,0.125,2201,0.49847904891266775,0.33388342925517667,1.0,1.0
-0.0,0.25,0.125,2202,0.5283909604533364,0.3157911931305093,1.0,1.0
-0.0,0.25,0.125,2203,0.5135244506218146,0.3388877741041284,1.0,1.0
-0.0,0.3,0.15,2201,0.5978989669447149,0.4002716871656282,1.0,1.0
-0.0,0.3,0.15,2202,0.6265084816251237,0.3712315397132363,1.0,1.0
-0.0,0.3,0.15,2203,0.6141214503952325,0.3871376430255241,1.0,1.0
-0.0,0.35,0.175,2201,0.6972611151220662,0.4456684136040097,1.0,1.0
-0.0,0.35,0.175,2202,0.7244554564420659,0.43660404029560346,1.0,1.0
-0.0,0.35,0.175,2203,0.7146531765621706,0.46120020418170093,1.0,1.0
-0.0,0.4,0.2,2201,0.7967258022307886,0.5415450548951355,1.0,1.0
-0.0,0.4,0.2,2202,0.8221500856231658,0.48514319982612264,1.0,1.0
-0.0,0.4,0.2,2203,0.814507926401808,0.531673607690638,1.0,1.0
-0.0,0.45,0.225,2201,0.8960777037226593,0.5923051620316571,1.0,1.0
-0.0,0.45,0.225,2202,0.9196564073491054,0.5893844045865988,1.0,1.0
-0.0,0.45,0.225,2203,0.915011367501881,0.6106456982956951,1.0,1.0
-0.0,0.5,0.25,2201,0.9955375320627592,0.618385945841166,1.0,1.0
-0.0,0.5,0.25,2202,1.0169159629790974,0.6349276943360249,0.0,1.0
-0.0,0.5,0.25,2203,1.015023745010278,0.6528516151382894,0.0,1.0
-0.0,0.55,0.275,2201,1.0949907871563136,0.6873577325623095,0.0,1.0
-0.0,0.55,0.275,2202,1.1139861344411264,0.705275099111848,0.0,1.0
-0.0,0.55,0.275,2203,1.1150557300416537,0.7144474755633986,0.0,1.0
-0.0,0.6,0.3,2201,1.1945556311094485,0.7441056465972316,0.0,1.0
-0.0,0.6,0.3,2202,1.210833400303339,0.7579120329386573,0.0,1.0
-0.0,0.6,0.3,2203,1.2144477121442074,0.7599906663853034,0.0,1.0
-0.0,0.65,0.325,2201,1.2939951754691321,0.8295574125078122,0.0,1.0
-0.0,0.65,0.325,2202,1.3074983504231719,0.8440338426586247,0.0,1.0
-0.0,0.65,0.325,2203,1.3143596952635903,0.8620076415437699,0.0,1.0
-0.0,0.7,0.35,2201,1.3936389519213532,0.8775477712571911,0.0,1.0
-0.0,0.7,0.35,2202,1.4039369527881687,0.9030224945883785,0.0,1.0
-0.0,0.7,0.35,2203,1.4139636658902315,0.900870181984858,0.0,1.0
-0.0,0.75,0.375,2201,1.4932174075001021,0.954421283006791,0.0,1.0
-0.0,0.75,0.375,2202,1.5002258767641647,0.9540009300795403,0.0,1.0
-0.0,0.75,0.375,2203,1.513231493641931,0.9900818911161464,0.0,1.0
-0.0,0.8,0.4,2201,1.5928827241440273,1.0109504271260854,0.0,0.0
-0.0,0.8,0.4,2202,1.5963245038294254,1.0328011034696873,0.0,0.0
-0.0,0.8,0.4,2203,1.6125155826776167,1.0431896621933383,0.0,0.0
-0.0,0.85,0.425,2201,1.6926545464327774,1.0954793444538273,0.0,0.0
-0.0,0.85,0.425,2202,1.692251814514126,1.1175131212067408,0.0,0.0
-0.0,0.85,0.425,2203,1.7117475221802052,1.114042842426045,0.0,0.0
-0.0,0.9,0.45,2201,1.7925598655515596,1.1450037855244517,0.0,0.0
-0.0,0.9,0.45,2202,1.7880174145863874,1.192444001735637,0.0,0.0
-0.0,0.9,0.45,2203,1.81090808579955,1.1825570837452557,0.0,0.0
-0.0,0.95,0.475,2201,1.892724408788827,1.2537321772333867,0.0,0.0
-0.0,0.95,0.475,2202,1.8837670574646448,1.2607732457790917,0.0,0.0
-0.0,0.95,0.475,2203,1.9095162058421171,1.2420559338958777,0.0,0.0
0.05,0.2,0.1072380529476361,2201,0.36742969430169914,0.24267783921720593,1.0,1.0
0.05,0.2,0.1072380529476361,2202,0.3958400592889261,0.25013418251592845,1.0,1.0
0.05,0.2,0.1072380529476361,2203,0.3882098674811188,0.273422248387666,1.0,1.0
0.05,0.25,0.1340475661845451,2201,0.4611720911825,0.32052295916910906,1.0,1.0
0.05,0.25,0.1340475661845451,2202,0.4888966505194633,0.3117517279426845,1.0,1.0
0.05,0.25,0.1340475661845451,2203,0.481675741822645,0.33077613492464286,1.0,1.0
0.05,0.3,0.16085707942145414,2201,0.5547108764968913,0.40295066967651616,1.0,1.0
0.05,0.3,0.16085707942145414,2202,0.5812813708672984,0.3544124050232851,1.0,1.0
0.05,0.3,0.16085707942145414,2203,0.5742460413465567,0.3855345009481495,1.0,1.0
0.05,0.35,0.18766659265836313,2201,0.6481906263845814,0.45166609693634047,1.0,1.0
0.05,0.35,0.18766659265836313,2202,0.6732442342021685,0.44022211176325377,1.0,1.0
0.05,0.35,0.18766659265836313,2203,0.6674056975510625,0.4545157819105279,1.0,1.0
