seed,quantile_id,quantile_label,split,raw_c,rect_c,quantile_low,quantile_high,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
51,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.7085714285714286,0.4866666666666668,-0.22190476190476183,0.9466666666666667,0.9866666666666667,0.040000000000000036,0.7619047619047619,0.5,-0.26190476190476186,6,12
52,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6428571428571428,0.7561904761904761,0.11333333333333329,1.0,0.9466666666666667,-0.053333333333333344,0.6428571428571429,0.8095238095238095,0.16666666666666663,6,11
52,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6428571428571428,0.7380952380952381,0.09523809523809534,1.0,1.0,0.0,0.6428571428571429,0.7380952380952381,0.09523809523809523,6,10
52,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6428571428571428,0.637142857142857,-0.005714285714285783,1.0,0.9466666666666667,-0.053333333333333344,0.6428571428571429,0.6904761904761905,0.04761904761904756,6,12
52,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6428571428571428,0.597142857142857,-0.04571428571428582,1.0,0.9066666666666666,-0.09333333333333338,0.6428571428571429,0.6904761904761905,0.04761904761904756,6,9
52,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6428571428571428,0.4152380952380952,-0.2276190476190476,1.0,0.9866666666666667,-0.013333333333333308,0.6428571428571429,0.42857142857142855,-0.21428571428571436,6,14
53,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6161904761904764,0.7371428571428571,0.1209523809523807,0.9733333333333334,0.88,-0.09333333333333338,0.6428571428571429,0.8571428571428571,0.2142857142857142,9,11
53,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6161904761904764,0.6638095238095238,0.04761904761904745,0.9733333333333334,0.9733333333333334,0.0,0.6428571428571429,0.6904761904761905,0.04761904761904756,9,11
53,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6161904761904764,0.6314285714285715,0.01523809523809505,0.9733333333333334,0.8933333333333333,-0.08000000000000007,0.6428571428571429,0.7380952380952381,0.09523809523809523,9,12
53,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6161904761904764,0.5523809523809524,-0.06380952380952398,0.9733333333333334,0.9333333333333333,-0.040000000000000036,0.6428571428571429,0.6190476190476191,-0.023809523809523836,9,11
53,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6161904761904764,0.43904761904761913,-0.17714285714285727,0.9733333333333334,0.9866666666666667,0.013333333333333308,0.6428571428571429,0.4523809523809524,-0.19047619047619052,9,14
54,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6638095238095238,0.8171428571428572,0.15333333333333332,0.9733333333333334,0.96,-0.01333333333333342,0.6904761904761905,0.8571428571428571,0.16666666666666663,8,11
54,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6638095238095238,0.7085714285714286,0.04476190476190478,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.6904761904761905,0.7619047619047619,0.0714285714285714,8,11
54,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6638095238095238,0.6133333333333333,-0.05047619047619056,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.6904761904761905,0.6666666666666666,-0.023809523809523836,8,13
54,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6638095238095238,0.6580952380952381,-0.005714285714285783,0.9733333333333334,0.92,-0.053333333333333344,0.6904761904761905,0.7380952380952381,0.04761904761904767,8,11
54,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6638095238095238,0.5704761904761906,-0.09333333333333327,0.9733333333333334,0.88,-0.09333333333333338,0.6904761904761905,0.6904761904761905,0.0,8,15
55,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.7219047619047618,0.6742857142857144,-0.04761904761904745,0.96,0.96,0.0,0.7619047619047619,0.7142857142857143,-0.04761904761904756,7,9
55,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.7219047619047618,0.78,0.0580952380952382,0.96,0.9466666666666667,-0.013333333333333308,0.7619047619047619,0.8333333333333334,0.07142857142857151,7,12
55,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.7219047619047618,0.7428571428571429,0.020952380952381056,0.96,0.9333333333333333,-0.026666666666666616,0.7619047619047619,0.8095238095238095,0.04761904761904767,7,12
55,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.7219047619047618,0.5095238095238095,-0.21238095238095234,0.96,0.8666666666666667,-0.09333333333333327,0.7619047619047619,0.6428571428571429,-0.11904761904761896,7,10
55,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.7219047619047618,0.4733333333333334,-0.24857142857142844,0.96,0.9733333333333334,0.01333333333333342,0.7619047619047619,0.5,-0.26190476190476186,7,15
56,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6428571428571428,0.6980952380952381,0.05523809523809531,1.0,0.96,-0.040000000000000036,0.6428571428571429,0.7380952380952381,0.09523809523809523,8,9
56,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6428571428571428,0.6980952380952381,0.05523809523809531,1.0,0.96,-0.040000000000000036,0.6428571428571429,0.7380952380952381,0.09523809523809523,8,13
56,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6428571428571428,0.6390476190476191,-0.003809523809523707,1.0,0.8533333333333334,-0.1466666666666666,0.6428571428571429,0.7857142857142857,0.1428571428571428,8,9
56,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6428571428571428,0.6390476190476191,-0.003809523809523707,1.0,0.8533333333333334,-0.1466666666666666,0.6428571428571429,0.7857142857142857,0.1428571428571428,8,11
56,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6428571428571428,0.6447619047619049,0.0019047619047620756,1.0,0.9066666666666666,-0.09333333333333338,0.6428571428571429,0.7380952380952381,0.09523809523809523,8,15
